"Neighborhood","TotalUnits","LandSqFt","GrossSqFt","YearBuilt","TaxClass","SalePrice"
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",100100
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",100780
"UPPER EAST SIDE (59-79)  ",0,0,0,1955,"Class 2",101400
"MIDTOWN WEST             ",1,0,0,1950,"Class 2",101825
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",102971
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",103000
"HARLEM-CENTRAL           ",5,1243,3712,1910,"Class 2",103000
"MIDTOWN WEST             ",1,0,0,1925,"Class 4",103171
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",103880
"MIDTOWN WEST             ",1,0,0,1925,"Class 4",104282
"MURRAY HILL              ",0,0,0,1940,"Class 2",104428
"MIDTOWN WEST             ",1,0,0,1963,"Class 4",105000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",105397
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",105450
"CHELSEA                  ",0,0,0,1963,"Class 2",105770
"CHELSEA                  ",0,0,0,1963,"Class 2",105770
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",105793
"MIDTOWN WEST             ",1,0,0,0,"Class 4",106082
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",106353
"CHELSEA                  ",0,0,0,1960,"Class 2",106468
"UPPER EAST SIDE (59-79)  ",0,0,0,1915,"Class 2",106470
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",106500
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",106535
"CHELSEA                  ",0,0,0,1963,"Class 2",107168
"CHELSEA                  ",0,0,0,1960,"Class 2",107168
"UPPER EAST SIDE (79-96)  ",0,0,0,1925,"Class 2",107388
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",107766
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",108305
"CHELSEA                  ",0,0,0,1963,"Class 2",108569
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",109228
"CHELSEA                  ",0,0,0,1963,"Class 2",109268
"CHELSEA                  ",0,0,0,1963,"Class 2",109269
"WASHINGTON HEIGHTS LOWER ",8,1890,4739,1910,"Class 2",109594
"CHELSEA                  ",0,0,0,1963,"Class 2",109654
"CHELSEA                  ",0,0,0,1963,"Class 2",109869
"MANHATTAN VALLEY         ",0,0,0,1920,"Class 2",110000
"MIDTOWN WEST             ",1,0,0,0,"Class 2",110000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",110000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",110000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",110000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",110000
"MIDTOWN WEST             ",1,0,0,0,"Class 4",110605
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",111210
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",111455
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",111557
"MIDTOWN WEST             ",1,0,0,0,"Class 2",111615
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",111689
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",111783
"UPPER WEST SIDE (59-79)  ",0,0,0,1930,"Class 2",112500
"MURRAY HILL              ",0,0,0,1940,"Class 2",112977
"EAST VILLAGE             ",0,0,0,1900,"Class 2",113228
"UPPER EAST SIDE (79-96)  ",0,0,0,1974,"Class 2",113669
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114119
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114230
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114855
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",114863
"HARLEM-CENTRAL           ",0,0,0,1926,"Class 2",115000
"HARLEM-UPPER             ",0,0,0,1900,"Class 2",115000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",115538
"MIDTOWN EAST             ",1,0,0,1979,"Class 2",115992
"GRAMERCY                 ",0,0,0,1962,"Class 2",116000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116335
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116455
"MORNINGSIDE HEIGHTS      ",0,0,0,1926,"Class 2",116610
"UPPER WEST SIDE (59-79)  ",0,0,0,1923,"Class 2",116667
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116805
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116805
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116805
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116805
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116805
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",116805
"CHELSEA                  ",0,0,0,1963,"Class 2",117522
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",117570
"MIDTOWN WEST             ",1,0,0,1950,"Class 2",117709
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",117800
"SOHO                     ",0,0,0,1920,"Class 2",118750
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",118756
"CHELSEA                  ",0,0,0,1963,"Class 2",119076
"CHELSEA                  ",0,0,0,1963,"Class 2",119076
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",119420
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",119802
"CHELSEA                  ",0,0,0,1963,"Class 2",119854
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",120000
"INWOOD                   ",0,0,0,1946,"Class 2",120000
"MIDTOWN EAST             ",0,0,0,1959,"Class 2",120000
"UPPER EAST SIDE (59-79)  ",0,0,0,1947,"Class 2",120000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",120159
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",120303
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",120373
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",120531
"CHELSEA                  ",0,0,0,1960,"Class 2",120632
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",121326
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",121857
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",121857
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",122060
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",123260
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",123344
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",123383
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",123497
"GRAMERCY                 ",0,0,0,1940,"Class 2",124170
"MIDTOWN EAST             ",1,0,0,1979,"Class 2",124204
"MURRAY HILL              ",0,0,0,1929,"Class 2",125000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1909,"Class 2",125000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",126490
"MIDTOWN EAST             ",1,0,0,1985,"Class 2",126750
"MIDTOWN WEST             ",1,0,0,1950,"Class 2",127281
"MIDTOWN WEST             ",1,0,0,1950,"Class 2",127281
"HARLEM-CENTRAL           ",0,0,0,1925,"Class 2",130000
"KIPS BAY                 ",0,0,0,1920,"Class 2",130000
"KIPS BAY                 ",0,0,0,1920,"Class 2",130000
"UPPER EAST SIDE (59-79)  ",0,0,0,1959,"Class 2",130000
"HARLEM-UPPER             ",0,0,0,1926,"Class 2",130520
"UPPER WEST SIDE (96-116) ",0,0,0,1925,"Class 2",131311
"HARLEM-CENTRAL           ",0,0,0,1900,"Class 2",132367
"UPPER WEST SIDE (59-79)  ",1,0,0,1965,"Class 2",133000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",133000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",134196
"EAST VILLAGE             ",0,0,0,2012,"Class 2",134307
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",134940
"CLINTON                  ",0,0,0,1910,"Class 2",135000
"HARLEM-CENTRAL           ",0,0,0,1926,"Class 2",135000
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",135000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",135000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",135474
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",135651
"MANHATTAN VALLEY         ",0,0,0,1910,"Class 2",135656
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",136300
"INWOOD                   ",1,0,0,0,"Class 2",136890
"EAST VILLAGE             ",0,0,0,2012,"Class 2",136961
"EAST VILLAGE             ",0,0,0,2012,"Class 2",136961
"EAST VILLAGE             ",0,0,0,2012,"Class 2",136961
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",137050
"EAST VILLAGE             ",0,0,0,1920,"Class 2",137500
"EAST VILLAGE             ",0,0,0,1920,"Class 2",137500
"EAST VILLAGE             ",0,0,0,1920,"Class 2",137500
"EAST VILLAGE             ",0,0,0,1920,"Class 2",137500
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",137552
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",138000
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",139000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",139000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",139000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",139000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",139000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",139000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",139230
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",140000
"HARLEM-CENTRAL           ",0,0,0,1900,"Class 2",140000
"INWOOD                   ",0,0,0,1956,"Class 2",140000
"INWOOD                   ",0,0,0,1941,"Class 2",140000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1900,"Class 2",140000
"MURRAY HILL              ",0,0,0,1940,"Class 2",140025
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",140664
"HARLEM-CENTRAL           ",0,0,0,1900,"Class 2",140664
"MIDTOWN WEST             ",1,0,0,1963,"Class 4",140700
"INWOOD                   ",1,0,0,0,"Class 2",142000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",142750
"MIDTOWN WEST             ",1,0,0,1963,"Class 4",143711
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",145000
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",145000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",145000
"HARLEM-CENTRAL           ",0,752,0,0,"Class 4",145000
"HARLEM-EAST              ",1,0,0,2006,"Class 2",145000
"UPPER EAST SIDE (59-79)  ",0,0,0,1947,"Class 2",145000
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",147000
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",147266
"UPPER EAST SIDE (79-96)  ",0,0,0,1927,"Class 2",147500
"INWOOD                   ",0,0,0,1956,"Class 2",149000
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",149700
"HARLEM-CENTRAL           ",0,0,0,1900,"Class 2",149700
"CLINTON                  ",1,0,0,2007,"Class 4",150000
"HARLEM-CENTRAL           ",1,0,0,1920,"Class 2",150000
"HARLEM-UPPER             ",0,0,0,1900,"Class 2",150000
"INWOOD                   ",1,0,0,0,"Class 1",150000
"MIDTOWN EAST             ",0,0,0,1901,"Class 2",150000
"MIDTOWN EAST             ",0,0,0,1929,"Class 2",150000
"MIDTOWN EAST             ",1,0,0,0,"Class 2",150000
